Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
7 maj 26 5:55:26,1,3.3 m,93 km/h
7 maj 26 5:55:45,1,4.3 m,71 km/h
7 maj 26 5:55:53,1,4.0 m,55 km/h
7 maj 26 5:56:28,2,4.1 m,84 km/h
7 maj 26 5:56:32,2,4.0 m,56 km/h
7 maj 26 5:57:50,1,3.7 m,50 km/h
7 maj 26 5:58:00,1,3.8 m,60 km/h
7 maj 26 6:04:23,2,3.2 m,87 km/h
7 maj 26 6:05:21,1,4.2 m,63 km/h
7 maj 26 6:06:01,1,4.1 m,46 km/h
7 maj 26 6:08:14,1,4.8 m,63 km/h
7 maj 26 6:08:28,1,3.7 m,54 km/h
7 maj 26 6:10:23,1,4.0 m,56 km/h
7 maj 26 6:10:34,1,3.6 m,46 km/h
7 maj 26 6:12:55,1,2.7 m,58 km/h
7 maj 26 6:13:31,1,4.2 m,52 km/h
7 maj 26 6:13:54,1,3.9 m,51 km/h
7 maj 26 6:15:17,2,4.8 m,54 km/h
7 maj 26 6:16:34,2,5.0 m,89 km/h
7 maj 26 6:17:08,1,3.7 m,59 km/h
7 maj 26 6:17:38,1,3.7 m,69 km/h
7 maj 26 6:18:26,2,3.9 m,62 km/h
7 maj 26 6:19:04,2,4.8 m,59 km/h
7 maj 26 6:19:32,1,4.0 m,42 km/h
7 maj 26 6:22:02,1,5.0 m,53 km/h
7 maj 26 6:23:39,1,3.0 m,47 km/h
7 maj 26 6:23:41,1,3.8 m,46 km/h
7 maj 26 6:24:09,1,3.8 m,53 km/h
7 maj 26 6:25:23,1,4.0 m,58 km/h
7 maj 26 6:26:54,1,3.8 m,50 km/h
7 maj 26 6:27:06,1,5.0 m,57 km/h
7 maj 26 6:28:59,1,4.6 m,51 km/h
7 maj 26 6:29:29,1,4.3 m,60 km/h
7 maj 26 6:30:31,1,3.5 m,51 km/h
7 maj 26 6:30:36,1,3.8 m,63 km/h
7 maj 26 6:30:42,2,4.0 m,27 km/h
7 maj 26 6:32:36,1,3.6 m,64 km/h
7 maj 26 6:33:34,1,6.7 m,47 km/h
7 maj 26 6:34:22,1,4.2 m,62 km/h
7 maj 26 6:36:05,1,4.0 m,57 km/h
7 maj 26 6:39:08,2,5.8 m,70 km/h
7 maj 26 6:40:19,1,4.8 m,20 km/h
7 maj 26 6:40:41,2,3.1 m,70 km/h
7 maj 26 6:41:12,1,3.3 m,51 km/h
7 maj 26 6:41:26,1,4.1 m,67 km/h
7 maj 26 6:42:49,1,3.1 m,41 km/h
7 maj 26 6:43:03,2,3.2 m,65 km/h
7 maj 26 6:43:05,1,3.5 m,30 km/h
7 maj 26 6:43:55,1,3.7 m,67 km/h
7 maj 26 6:44:45,1,3.0 m,50 km/h
7 maj 26 6:45:23,2,4.0 m,45 km/h
7 maj 26 6:46:38,1,3.3 m,54 km/h
7 maj 26 6:49:09,1,5.4 m,50 km/h
7 maj 26 6:50:33,2,6.4 m,56 km/h
7 maj 26 6:50:38,1,1.5 m,55 km/h
7 maj 26 6:50:41,2,3.6 m,64 km/h
7 maj 26 6:50:56,1,3.4 m,69 km/h
7 maj 26 6:52:52,1,4.0 m,27 km/h
7 maj 26 6:53:29,2,3.0 m,37 km/h
7 maj 26 6:53:29,2,5.0 m,38 km/h
7 maj 26 6:53:32,2,5.6 m,37 km/h
7 maj 26 6:53:34,2,3.7 m,29 km/h
7 maj 26 6:53:40,1,4.6 m,48 km/h
7 maj 26 6:53:43,1,7.8 m,54 km/h
7 maj 26 6:54:08,2,3.6 m,69 km/h
7 maj 26 6:55:08,1,4.8 m,27 km/h
7 maj 26 6:55:22,1,3.7 m,72 km/h
7 maj 26 6:55:25,2,4.1 m,56 km/h
7 maj 26 6:56:28,2,5.3 m,57 km/h
7 maj 26 6:57:09,2,5.7 m,49 km/h
7 maj 26 6:57:52,1,4.0 m,50 km/h
7 maj 26 6:57:56,2,4.0 m,63 km/h
7 maj 26 6:58:08,2,4.0 m,69 km/h
7 maj 26 6:59:10,1,4.3 m,42 km/h
7 maj 26 7:00:22,2,3.6 m,68 km/h
7 maj 26 7:01:18,2,4.2 m,79 km/h
7 maj 26 7:01:26,1,3.5 m,44 km/h
7 maj 26 7:02:54,1,3.1 m,76 km/h
7 maj 26 7:04:27,2,4.2 m,61 km/h
7 maj 26 7:04:57,1,4.2 m,80 km/h
7 maj 26 7:06:50,1,3.4 m,62 km/h
7 maj 26 7:06:55,1,9.6 m,70 km/h
7 maj 26 7:07:30,1,3.3 m,73 km/h
7 maj 26 7:07:48,2,7.4 m,52 km/h
7 maj 26 7:07:55,2,3.6 m,50 km/h
7 maj 26 7:08:38,2,4.1 m,61 km/h
7 maj 26 7:08:54,1,4.4 m,65 km/h
7 maj 26 7:09:55,1,4.8 m,46 km/h
7 maj 26 7:11:05,1,3.3 m,54 km/h
7 maj 26 7:11:43,2,5.4 m,55 km/h
7 maj 26 7:12:35,1,3.2 m,64 km/h
7 maj 26 7:12:54,1,4.4 m,52 km/h
7 maj 26 7:13:23,2,4.3 m,80 km/h
7 maj 26 7:14:08,1,4.1 m,55 km/h
7 maj 26 7:14:15,2,3.9 m,56 km/h
7 maj 26 7:21:32,1,8.6 m,45 km/h
7 maj 26 7:21:43,1,3.2 m,48 km/h
7 maj 26 7:21:57,1,3.8 m,52 km/h
7 maj 26 7:22:15,2,3.7 m,72 km/h
7 maj 26 7:22:48,2,5.3 m,35 km/h
7 maj 26 7:22:48,1,3.3 m,49 km/h
7 maj 26 7:23:04,2,3.8 m,55 km/h
7 maj 26 7:25:00,1,4.4 m,51 km/h
7 maj 26 7:25:58,1,3.5 m,43 km/h
7 maj 26 7:26:28,2,4.2 m,49 km/h
7 maj 26 7:27:34,1,14.4 m,65 km/h
7 maj 26 7:28:16,2,4.4 m,55 km/h
7 maj 26 7:28:56,1,3.6 m,61 km/h
7 maj 26 7:29:33,1,4.5 m,51 km/h
7 maj 26 7:30:20,1,2.0 m,19 km/h
7 maj 26 7:30:25,2,4.0 m,50 km/h
7 maj 26 7:30:30,2,6.8 m,42 km/h
7 maj 26 7:30:31,2,3.4 m,43 km/h
7 maj 26 7:30:33,2,3.5 m,40 km/h
7 maj 26 7:30:44,1,3.2 m,47 km/h
7 maj 26 7:30:49,1,3.4 m,52 km/h
7 maj 26 7:30:50,2,3.2 m,42 km/h
7 maj 26 7:32:26,1,3.3 m,63 km/h
7 maj 26 7:33:34,2,5.2 m,11 km/h
7 maj 26 7:34:54,1,3.6 m,52 km/h
7 maj 26 7:35:53,1,4.3 m,50 km/h
7 maj 26 7:36:13,1,3.6 m,58 km/h
7 maj 26 7:36:41,2,4.0 m,65 km/h
7 maj 26 7:37:43,2,4.9 m,69 km/h
7 maj 26 7:38:02,1,4.8 m,50 km/h
7 maj 26 7:40:28,2,3.2 m,67 km/h
7 maj 26 7:41:24,1,4.3 m,58 km/h
7 maj 26 7:42:56,2,5.1 m,57 km/h
7 maj 26 7:44:47,2,3.3 m,37 km/h
7 maj 26 7:45:40,2,5.9 m,64 km/h
7 maj 26 7:49:54,1,4.6 m,50 km/h
7 maj 26 7:49:56,1,4.7 m,51 km/h
7 maj 26 7:50:01,1,2.4 m,52 km/h
7 maj 26 7:50:04,1,6.9 m,54 km/h
7 maj 26 7:51:15,1,4.4 m,61 km/h
7 maj 26 7:51:18,1,3.7 m,59 km/h
7 maj 26 7:52:23,1,3.9 m,42 km/h
7 maj 26 7:52:28,1,4.8 m,61 km/h
7 maj 26 7:54:19,1,4.0 m,44 km/h
7 maj 26 7:56:39,2,2.3 m,76 km/h
7 maj 26 8:01:10,2,5.2 m,49 km/h
7 maj 26 8:02:26,2,4.6 m,47 km/h
7 maj 26 8:08:35,1,4.3 m,53 km/h
7 maj 26 8:08:38,2,3.8 m,14 km/h
7 maj 26 8:09:08,1,4.1 m,44 km/h
7 maj 26 8:09:09,1,1.5 m,46 km/h
7 maj 26 8:09:10,1,4.5 m,59 km/h
7 maj 26 8:09:30,1,8.4 m,48 km/h
7 maj 26 8:11:15,1,6.5 m,61 km/h
7 maj 26 8:11:17,2,3.4 m,67 km/h
7 maj 26 8:12:53,2,4.6 m,55 km/h
7 maj 26 8:14:23,1,4.3 m,74 km/h
7 maj 26 8:14:55,1,3.9 m,69 km/h
7 maj 26 8:16:13,1,4.4 m,74 km/h
7 maj 26 8:16:56,2,2.8 m,54 km/h
7 maj 26 8:17:02,2,3.8 m,60 km/h
7 maj 26 8:17:14,2,4.6 m,56 km/h
7 maj 26 8:18:05,1,6.9 m,55 km/h
7 maj 26 8:19:16,1,9.4 m,44 km/h
7 maj 26 8:19:56,2,4.9 m,38 km/h
7 maj 26 8:19:57,2,4.9 m,40 km/h
7 maj 26 8:20:11,1,5.5 m,34 km/h
7 maj 26 8:21:49,1,3.8 m,56 km/h
7 maj 26 8:22:39,2,5.6 m,63 km/h
7 maj 26 8:23:19,2,3.6 m,56 km/h
7 maj 26 8:25:20,1,5.9 m,47 km/h
7 maj 26 8:26:20,1,6.4 m,58 km/h
7 maj 26 8:26:45,1,3.9 m,56 km/h
7 maj 26 8:27:04,2,4.4 m,43 km/h
7 maj 26 8:30:17,2,5.2 m,45 km/h
7 maj 26 8:30:21,2,4.2 m,34 km/h
7 maj 26 8:30:44,1,2.8 m,57 km/h
7 maj 26 8:30:44,1,4.7 m,61 km/h
7 maj 26 8:31:02,1,3.5 m,60 km/h
7 maj 26 8:31:12,2,3.3 m,41 km/h
7 maj 26 8:31:39,1,3.9 m,46 km/h
7 maj 26 8:32:22,1,3.7 m,51 km/h
7 maj 26 8:32:28,2,3.8 m,63 km/h
7 maj 26 8:32:35,1,3.0 m,42 km/h
7 maj 26 8:35:30,1,3.9 m,45 km/h
7 maj 26 8:37:58,1,6.3 m,37 km/h
7 maj 26 8:38:02,1,5.0 m,41 km/h
7 maj 26 8:40:18,2,4.0 m,55 km/h
7 maj 26 8:40:18,1,3.8 m,69 km/h
7 maj 26 8:40:37,1,7.7 m,76 km/h
7 maj 26 8:40:52,1,3.9 m,46 km/h
7 maj 26 8:41:39,2,5.0 m,50 km/h
7 maj 26 8:42:10,1,4.5 m,51 km/h
7 maj 26 8:44:01,2,4.9 m,54 km/h
7 maj 26 8:44:32,2,4.3 m,69 km/h
7 maj 26 8:45:38,1,3.1 m,65 km/h
7 maj 26 8:46:35,1,3.7 m,53 km/h
7 maj 26 8:47:02,1,4.1 m,51 km/h
7 maj 26 8:48:31,1,1.8 m,50 km/h
7 maj 26 8:48:47,1,3.4 m,49 km/h
7 maj 26 8:52:31,2,4.4 m,58 km/h
7 maj 26 8:53:18,1,3.3 m,53 km/h
7 maj 26 8:53:27,2,4.3 m,80 km/h
7 maj 26 8:54:33,1,4.1 m,65 km/h
7 maj 26 8:54:46,1,3.3 m,61 km/h
7 maj 26 8:56:01,2,4.2 m,45 km/h
7 maj 26 8:58:30,1,4.1 m,63 km/h
7 maj 26 8:58:54,1,4.4 m,70 km/h
7 maj 26 8:59:01,1,3.5 m,68 km/h
7 maj 26 8:59:04,2,4.9 m,33 km/h
7 maj 26 8:59:17,1,4.0 m,46 km/h
7 maj 26 9:00:00,1,3.6 m,53 km/h
7 maj 26 9:02:29,2,3.4 m,55 km/h
7 maj 26 9:03:22,2,3.4 m,67 km/h
7 maj 26 9:03:56,1,7.6 m,43 km/h
7 maj 26 9:05:00,1,4.2 m,65 km/h
7 maj 26 9:05:27,1,4.2 m,49 km/h
7 maj 26 9:05:35,2,3.7 m,41 km/h
7 maj 26 9:05:40,1,4.0 m,54 km/h
7 maj 26 9:11:48,2,3.7 m,60 km/h
7 maj 26 9:12:53,1,3.4 m,53 km/h
7 maj 26 9:14:48,1,3.8 m,50 km/h
7 maj 26 9:17:09,1,3.5 m,50 km/h
7 maj 26 9:17:30,1,4.7 m,61 km/h
7 maj 26 9:17:39,1,4.1 m,53 km/h
7 maj 26 9:21:19,2,19.7 m,32 km/h
7 maj 26 9:23:22,2,5.4 m,68 km/h
7 maj 26 9:24:00,1,5.3 m,46 km/h
7 maj 26 9:24:02,1,4.3 m,45 km/h
7 maj 26 9:26:51,1,2.7 m,65 km/h
7 maj 26 9:26:59,1,4.1 m,59 km/h
7 maj 26 9:29:16,1,3.8 m,47 km/h
7 maj 26 9:29:35,1,4.1 m,44 km/h
7 maj 26 9:29:45,1,3.3 m,49 km/h
7 maj 26 9:30:53,1,3.8 m,71 km/h
7 maj 26 9:31:12,2,4.9 m,42 km/h
7 maj 26 9:31:38,2,5.2 m,44 km/h
7 maj 26 9:32:05,2,5.0 m,66 km/h
7 maj 26 9:32:47,2,3.6 m,61 km/h
7 maj 26 9:36:54,1,4.4 m,34 km/h
7 maj 26 9:37:13,2,5.0 m,15 km/h
7 maj 26 9:39:12,1,3.4 m,49 km/h
7 maj 26 9:40:48,1,4.0 m,66 km/h
7 maj 26 9:48:42,1,5.0 m,58 km/h
7 maj 26 9:50:16,1,4.0 m,44 km/h
7 maj 26 9:51:00,2,3.3 m,41 km/h
7 maj 26 9:53:20,2,4.1 m,35 km/h
7 maj 26 9:53:26,1,4.0 m,51 km/h
7 maj 26 9:56:24,1,4.0 m,47 km/h
7 maj 26 9:57:24,2,3.2 m,48 km/h
7 maj 26 9:58:40,1,3.8 m,47 km/h
7 maj 26 9:59:20,2,3.5 m,47 km/h
7 maj 26 10:00:38,1,6.6 m,45 km/h
7 maj 26 10:01:47,1,3.8 m,40 km/h
7 maj 26 10:01:50,2,5.9 m,22 km/h
7 maj 26 10:03:26,2,5.0 m,57 km/h
7 maj 26 10:05:15,2,4.3 m,24 km/h
7 maj 26 10:05:49,1,4.8 m,60 km/h
7 maj 26 10:06:01,2,4.8 m,39 km/h
7 maj 26 10:07:45,2,17.4 m,43 km/h
7 maj 26 10:07:53,2,4.1 m,37 km/h
7 maj 26 10:10:24,1,3.6 m,51 km/h
7 maj 26 10:13:18,2,3.7 m,37 km/h
7 maj 26 10:13:58,2,3.4 m,61 km/h
7 maj 26 10:14:36,2,3.6 m,45 km/h
7 maj 26 10:17:26,2,3.2 m,44 km/h
7 maj 26 10:18:35,1,4.3 m,64 km/h
7 maj 26 10:18:38,1,4.2 m,54 km/h
7 maj 26 10:19:08,2,5.4 m,46 km/h
7 maj 26 10:20:17,2,6.0 m,54 km/h
7 maj 26 10:21:34,1,5.3 m,72 km/h
7 maj 26 10:21:48,1,4.8 m,27 km/h
7 maj 26 10:22:30,1,15.8 m,51 km/h
7 maj 26 10:22:32,1,3.1 m,54 km/h
7 maj 26 10:24:49,1,3.3 m,44 km/h
7 maj 26 10:25:16,2,4.1 m,64 km/h
7 maj 26 10:26:35,2,4.5 m,64 km/h
7 maj 26 10:28:18,1,5.0 m,49 km/h
7 maj 26 10:28:46,2,5.0 m,59 km/h
7 maj 26 10:29:37,2,3.3 m,55 km/h
7 maj 26 10:30:25,2,4.0 m,58 km/h
7 maj 26 10:31:43,1,4.1 m,51 km/h
7 maj 26 10:31:46,1,4.0 m,39 km/h
7 maj 26 10:32:04,1,3.9 m,57 km/h
7 maj 26 10:32:22,2,5.1 m,64 km/h
7 maj 26 10:33:12,1,4.4 m,51 km/h
7 maj 26 10:33:20,2,3.5 m,45 km/h
7 maj 26 10:33:25,1,4.0 m,69 km/h
7 maj 26 10:33:35,1,3.7 m,51 km/h
7 maj 26 10:36:42,1,3.9 m,40 km/h
7 maj 26 10:37:01,1,3.8 m,34 km/h
7 maj 26 10:37:06,1,5.1 m,47 km/h
7 maj 26 10:39:28,1,4.1 m,68 km/h
7 maj 26 10:40:30,1,3.6 m,52 km/h
7 maj 26 10:41:05,1,4.3 m,28 km/h
7 maj 26 10:41:25,2,3.0 m,58 km/h
7 maj 26 10:42:12,2,3.1 m,55 km/h
7 maj 26 10:44:34,1,3.8 m,50 km/h
7 maj 26 10:45:20,1,3.8 m,57 km/h
7 maj 26 10:48:45,1,3.9 m,47 km/h
7 maj 26 10:49:17,1,5.7 m,46 km/h
7 maj 26 10:51:37,1,4.9 m,43 km/h
7 maj 26 10:52:12,1,6.6 m,75 km/h
7 maj 26 10:52:43,2,6.6 m,51 km/h
7 maj 26 10:52:46,2,6.5 m,49 km/h
7 maj 26 10:53:44,2,4.2 m,63 km/h
7 maj 26 10:54:44,2,5.1 m,74 km/h
7 maj 26 10:58:08,2,5.1 m,65 km/h
7 maj 26 10:58:19,2,17.6 m,57 km/h
7 maj 26 11:01:05,1,1.8 m,57 km/h
7 maj 26 11:01:15,1,5.9 m,26 km/h
,,,
Powered by DataCollect,,,
